iter	RMSE
147	2807.51146
148	2804.361402
149	2767.109109
150	2731.831788
151	2727.993779
152	2696.64548
153	2686.341804
154	2683.956653
155	2666.448209
156	2652.878948
157	2641.055668
158	2623.67969
159	2609.110171
160	2603.979738
161	2574.388378
162	2568.582838
163	2553.322862
164	2550.505873
165	2542.453519
166	2516.964535
167	2493.832265
168	2467.440252
169	2447.633987
170	2408.690437
171	2407.281998
172	2404.640462
173	2387.460364
174	2384.987425
175	2363.21433
176	2361.612628
177	2359.326255
178	2357.378178
179	2353.978058
180	2350.362802
181	2344.469648
182	2323.221603
183	2321.565067
184	2303.735316
185	2301.929702
186	2290.591108
187	2289.761936
188	2268.322522
189	2261.528098
190	2242.838571
191	2242.043064
192	2238.262763
193	2227.86357
194	2210.180044
195	2206.629694
196	2187.988741
197	2171.322884
198	2160.201515
199	2153.45202
200	2152.774721
201	2130.75425
202	2125.011071
203	2120.499428
204	2119.739412
205	2113.351789
206	2098.538947
207	2095.133936
208	2094.406855
209	2092.430901
210	2078.715178
211	2056.392284
212	2055.705069
213	2051.743135
214	2042.588404
215	2041.07147
216	2028.12883
217	2016.415664
218	2006.234225
219	1992.188284
220	1977.649184
221	1976.990084
222	1967.082878
223	1961.085287
224	1956.683593
225	1947.239185
226	1940.791698
227	1928.900636
228	1926.673872
229	1926.060513
230	1925.110331
231	1919.277415
232	1907.007747
233	1901.86064
234	1898.387654
235	1888.731602
236	1882.162067
237	1879.802913
238	1874.852669
239	1865.76572
240	1863.641419
241	1860.107635
242	1859.523113
243	1851.183221
244	1843.980255
245	1837.005158
246	1827.723821
247	1819.395789
248	1818.869205
249	1816.821444
250	1816.276616
251	1802.03269
252	1797.947658
253	1797.391219
254	1794.56192
255	1785.672762
256	1779.971231
257	1774.261892
258	1769.51535
259	1764.957817
260	1764.434999
261	1755.318364
262	1750.118889
263	1749.602076
264	1738.314825
265	1733.66846
266	1731.450038
267	1724.113114
268	1723.601353
269	1723.116183
270	1718.528358
271	1712.690463
272	1709.019821
273	1700.810621
274	1693.45844
275	1692.993233
276	1686.26962
277	1683.735793
278	1676.885753
279	1672.136428
280	1671.685099
281	1668.418313
282	1663.587478
283	1659.542665
284	1653.496974
285	1647.573404
286	1647.059175
287	1643.350598
288	1638.378595
289	1631.789219
290	1626.555116
291	1620.195052
292	1614.055163
293	1607.880124
294	1602.706706
295	1596.542577
296	1596.087526
297	1595.674962
298	1592.566114
299	1587.391208
300	1585.638481
301	1579.918665
302	1579.527659
303	1579.120296
304	1578.712295
305	1571.472534
306	1571.066466
307	1567.468702
308	1563.463484
309	1560.605244
310	1560.205437
311	1555.986081
312	1555.603586
313	1552.740403
314	1548.195664
315	1542.696655
316	1542.19737
317	1536.746966
318	1536.401442
319	1531.215343
320	1530.835652
321	1523.338821
322	1522.984191
323	1522.646905
324	1517.767962
325	1515.359339
326	1510.929555
327	1504.71561
328	1504.374095
329	1499.548151
330	1496.425527
331	1486.515004
332	1483.238404
333	1480.342399
334	1476.23131
335	1470.634826
336	1466.942826
337	1466.607106
338	1461.661326
339	1459.602133
340	1456.558926
341	1453.704147
342	1449.814382
343	1444.839378
344	1444.512486
345	1438.672591
346	1433.138479
347	1427.545911
348	1421.675839
349	1419.194762
350	1417.832533
351	1413.892795
352	1409.584086
353	1405.396889
354	1405.083193
355	1401.593277
356	1401.278636
357	1398.520679
358	1395.723679
359	1390.371291
360	1390.075654
361	1387.529638
362	1385.125899
363	1381.536108
364	1381.23472
365	1379.867678
366	1379.558651
367	1374.994735
368	1372.16025
369	1367.231901
370	1363.981822
371	1359.951081
372	1357.203418
373	1355.226902
374	1354.930216
375	1354.648048
376	1351.850542
377	1348.983318
378	1346.76432
379	1344.723021
380	1343.551672
381	1341.415118
382	1339.193921
383	1336.905263
384	1335.155322
385	1330.552277
386	1328.106068
387	1325.969537
388	1323.653328
389	1321.077021
390	1316.948701
391	1315.02954
392	1314.736427
393	1312.562932
394	1306.886906
395	1303.621648
396	1300.031223
397	1293.302411
398	1293.018514
399	1291.506472
400	1291.233522
401	1290.134348
402	1286.080263
403	1285.034115
404	1283.83412
405	1280.472431
406	1278.778451
407	1277.212778
408	1273.338993
409	1269.903704
410	1269.643763
411	1266.544465
412	1264.597568
413	1262.949362
414	1262.687733
415	1260.475563
416	1258.0684
417	1253.189629
418	1252.927554
419	1251.899855
420	1251.648462
421	1248.126459
422	1247.853665
423	1245.413518
424	1242.670765
425	1239.104348
426	1237.477032
427	1236.203635
428	1233.635473
429	1230.167293
430	1225.810893
431	1225.22212
432	1222.536314
433	1220.566199
434	1218.351243
435	1218.083557
436	1216.760072
437	1213.819563
438	1210.991793
439	1207.562908
440	1204.229437
441	1200.443749
442	1195.971913
443	1193.538375
444	1191.243834
445	1187.838363
446	1185.494984
447	1183.319144
448	1181.88553
449	1180.179204
450	1179.92541
451	1179.678013
452	1176.979601
453	1174.756672
454	1172.489192
455	1169.521903
456	1166.483198
457	1163.088182
458	1162.883697
459	1159.695429
460	1156.742071
461	1154.353978
462	1154.114432
463	1153.234985
464	1150.446956
465	1146.442266
466	1143.69464
467	1142.560919
468	1142.32807
469	1139.70715
470	1136.144829
471	1134.445721
472	1132.527483
473	1132.306517
474	1130.275707
475	1130.045648
476	1128.715764
477	1125.854084
478	1122.725879
479	1121.884728
480	1120.52226
481	1118.690091
482	1118.483838
483	1118.269685
484	1116.427811
485	1114.365309
486	1114.149187
487	1111.79218
488	1111.579285
489	1111.377348
490	1111.164759
491	1109.045835
492	1106.664514
493	1106.470323
494	1104.844145
495	1103.286909
496	1100.927794
497	1098.349196
498	1098.139681
499	1095.834466
500	1093.390282
501	1093.199084
502	1089.912149
503	1087.241155
504	1085.231064
505	1083.837349
506	1082.566178
507	1082.408251
508	1080.948983
509	1078.36114
510	1078.172796
511	1077.003604
512	1075.486881
513	1072.687335
514	1072.231295
515	1069.127016
516	1067.305696
517	1067.123835
518	1065.509382
519	1065.325483
520	1063.861876
521	1059.619295
522	1057.84595
523	1057.676413
524	1055.075319
525	1052.644911
526	1050.96278
527	1048.499725
528	1048.310673
529	1046.475116
530	1045.052779
531	1043.079338
532	1039.998819
533	1038.145233
534	1036.451437
535	1033.941217
536	1033.751653
537	1033.577868
538	1033.398565
539	1032.908432
540	1031.873047
541	1030.732993
542	1029.260797
543	1026.139013
544	1024.850618
545	1023.747661
546	1022.831092
547	1019.894489
548	1014.238639
549	1011.424167
550	1009.629345
551	1008.583629
552	1007.50001
553	1006.49445
554	1006.319719
555	1006.149335
556	1004.120328
557	1003.126543
558	1001.826794
559	1001.654211
560	998.26524
561	996.0532936
562	995.9002289
563	993.8967892
564	992.6009353
565	992.4490077
566	991.7852622
567	990.1336309
568	986.7977526
569	985.5882469
570	984.669142
571	982.1182123
572	981.949592
573	980.3076955
574	978.9879605
575	977.653678
576	977.4886345
577	975.6917061
578	974.573605
579	972.9762081
580	971.3463751
581	971.1862025
582	970.3684931
583	970.2114996
584	968.1349893
585	965.7953229
586	963.8249891
587	959.595776
588	958.1967658
589	958.041663
590	955.7822261
591	954.8976023
592	953.6692786
593	950.3592643
594	947.0861391
595	945.9976319
596	944.8576215
597	944.0713479
598	943.9157331
599	942.0710851
600	941.9172391
601	939.5459428
602	937.7393702
603	936.7706149
604	935.9704115
605	934.5398547
606	930.9487992
607	929.1693627
608	927.1110691
609	925.1622674
610	923.4599045
611	923.3179604
612	921.9665005
613	920.260817
614	920.1085692
615	918.6108
616	915.6723276
617	913.7794295
618	913.6473142
619	912.1959991
620	911.1705822
621	910.0737485
622	906.5308386
623	906.4042936
624	906.258428
625	904.4185554
626	903.2578786
627	901.3842573
628	901.2400103
629	900.3123735
630	898.0588648
631	896.4162223
632	895.3875549
633	894.0776482
634	891.9212998
635	890.3427614
636	890.1975011
637	888.815851
638	888.6698387
639	887.8145614
640	887.6768706
641	886.8513836
642	885.818064
643	881.7199773
644	880.2304008
645	880.0889961
646	879.9435675
647	878.1331177
648	875.7140501
649	875.5735652
